restaurant_id,category,name,description,price
10158,"Personal Care
",Clear Eyes 0.2oz,,5.03 USD
10158,"Personal Care
",Crest Toothpaste &amp; Tooth Brush .85 oz.,,3.47 USD
10158,"Personal Care
",Chapstick Cherry 0.15oz,,3.11 USD
10158,"Personal Care
",Gillette Shave Cream &amp; Razor,,5.51 USD
10158,"Personal Care
",Listerine Cool Mint 8.5 oz.,,6.35 USD
10158,Household,Energizer AA 4 Pack,,7.55 USD
10158,Household,Energizer AAA 4 Pack,,7.55 USD
10158,Household,Kingsford Matchlight Briquets 4lb,,8.99 USD
10158,Household,Tide Original Liquid 10oz,,4.67 USD
10158,Household,Clorox Bleach 43oz,,6.59 USD
10158,Household,Audio Aux Cable Pin Connector,,15.59 USD
10158,Household,Black Earbuds with Mic Wired,,20.39 USD
10158,Household,USB Cable,,23.99 USD
10158,Household,Dawn Ultra Dish Soap Original 7oz,,3.23 USD
10158,Household,Lysol Disinfectant Spray 7oz,,5.51 USD
10158,Household,CVP 18oz Plastic Cups 20 Ct,,3.47 USD
10158,Pet Care,Friskies Buffet Mixed Grill 5.5 oz.,,1.67 USD
10158,Pet Care,Purina Dog Chow Reg 4.4 lb.,,8.99 USD
10158,Frozen,7lb Ice Bag,,3.59 USD
10158,Milk,Nesquik Chocolate Milk 14oz,,2.99 USD
10159,BEVERAGES,MNSTR ULTRA FIESTA 24Z,"Sleep later, cause tonight we’re going to fiesta like there’s no mañana! Ultra Fiesta celebrates the nights that turn into mornings and the friends we now call familia. Zero sugar Ultra Fiesta blends juicy mango flavor into the Ultra we love finished-off with a full load of our Monster Energy blend.",3.99 USD
10159,BEVERAGES,OS CRAN TROPICAL 64Z,64oz Cran-Tropical,4.79 USD
10159,BEVERAGES,MNSTR PACIFIC PUNCH 16Z,"Hawaiian it’s not! Lighter, less sweet and more complex. A flavor as deep and wide as its name sake the great Pacific. Naturally we added our Monster Energy Blend to help put wind in your Sails and keep you steady and on course no matter how rough the seas. Pacific Punch your adventure awaits arrgh…Unleash the Salty Beast!",2.89 USD
10159,BEVERAGES,DR PEP 20Z SNGL BT,Est. 1885. Authentic blend of 23 flavors. 250 calories per bottle. Caffeine Content: 68 mg/20 fl oz. Please recycle.,2.39 USD
10159,BEVERAGES,BW PINEAPPLE JUICE 64Z,Quench your thirst with delicious and sweet Big Win Pineapple Juice. Our 100%25 pineapple juice is sure to satisfy with loads of vitamin C. Bottoms up!,5.19 USD
