restaurant_name,dish_name,price
buybuy BABY (2712 N. Central Expressway),UPPAbaby® VISTA V2 Stroller in Stella,1099.99 USD
buybuy BABY (522 Northwest Loop 410 Suite 108),UPPAbaby® VISTA V2 Stroller in Stella,1099.99 USD
buybuy BABY (2712 N. Central Expressway),UPPAbaby® VISTA V2 Stroller in Bryce,1099.99 USD
buybuy BABY (2712 N. Central Expressway),UPPAbaby® VISTA V2 Stroller in Jake,1099.99 USD
buybuy BABY (2712 N. Central Expressway),UPPAbaby® VISTA V2 Stroller in Stella,1099.99 USD
buybuy BABY (522 Northwest Loop 410 Suite 108),UPPAbaby® VISTA V2 Stroller in Gregory Blue Melange,1099.99 USD
buybuy BABY (522 Northwest Loop 410 Suite 108),UPPAbaby® VISTA V2 Stroller in Jake,1099.99 USD
buybuy BABY (2712 N. Central Expressway),UPPAbaby® VISTA V2 Stroller in Greyson,1099.99 USD
buybuy BABY (522 Northwest Loop 410 Suite 108),UPPAbaby® VISTA V2 Stroller in Greyson,1099.99 USD
buybuy BABY (2700 Potomac Mills Circle Suite 100),UPPAbaby® VISTA V2 Stroller in Emmett,1099.99 USD
