category,num_restaurants
Burgers-American-Sandwiches,1619
Mexican-Latin American-New Mexican,1168
Fast Food-Sandwich-American,838
Pizza-American-Italian,714
American-Burgers-Fast Food,686
American-Burgers-Sandwiches,484
Burritos-Fast Food-Mexican,430
Coffee and Tea-American-Breakfast and Brunch,410
Chinese-Asian-Asian Fusion,366
American-burger-Fast Food,360
Pharmacy-Convenience-Everyday Essentials-Baby,326
American-burger-Fast Food-Family Meals,313
Breakfast and Brunch-American-Sandwiches,286
Bakery-Breakfast and Brunch-Cafe-Coffee &amp; Tea,276
Sandwiches-American-Healthy,270
American-Fast Food-Burgers,265
Everyday Essentials-Convenience-Home &amp; Personal Care-Snacks-Pizza-American,261
American-Breakfast and Brunch-Desserts,259
Italian-Pasta-Comfort Food,259
Thai-Asian-Noodles,258
Everyday Essentials-Convenience-Pharmacy-Snacks,257
Pizza,211
Japanese-Asian-Sushi,206
Everyday Essentials-Grocery-Convenience-Home &amp; Personal Care-Snacks-Pizza-American,204
Healthy-Mexican,183
Indian-Vegetarian-Asian,183
Asian-Chinese-Family Meals,171
Convenience-Everyday Essentials-Snacks-Home &amp; Personal Care,170
American-Chicken-Family Meals-Fried Chicken-Comfort Food,168
BBQ-American-Burgers,166
Seafood-American-Southern,162
Mexican,161
Ice Cream &amp; Frozen Yogurt-Comfort Food-Desserts,157
Everyday Essentials-Convenience-Home &amp; Personal Care-Snacks,156
Vietnamese-Noodles-Healthy,152
American-Fast Food-wings-Family Meals-Family Friendly,151
Comfort Food-American-Burgers,145
Breakfast and Brunch-salad-Sandwich-Family Meals-Pizza-Healthy-American-Chicken,142
Sushi-Asian-Japanese,139
Sandwich-American,138
Desserts-Ice Cream + Frozen Yogurt-Comfort Food,138
Grocery-Convenience-Everyday Essentials,138
Burgers-American-Sandwiches-Family Meals,135
American-Burgers,134
American,134
Cafe-Coffee &amp; Tea-Breakfast and Brunch-Bakery,129
Asian-Asian Fusion-Korean,127
Ice Cream + Frozen Yogurt-Burgers-Chicken-American,126
Burgers,121
Korean-Asian-BBQ,120
Mediterranean-Greek-Vegetarian,120
Fast Food-Italian-pizza-wings,118
American-Burgers-Sandwich,115
American-Bar Food-Wings-Fast Food-Chicken-Family Meals-Exclusive to Eats-Comfort Food,114
Breakfast and Brunch-Donuts,113
Asian Fusion-Asian-Korean,112
Convenience-Everyday Essentials-Grocery-Snacks-Home &amp; Personal Care,111
American-Fast Food-wings-Family Meals,105
Ice Cream + Frozen Yogurt-Desserts-Comfort Food,104
Pizza-Wings-Sandwiches-Desserts-American-Traditional American-Fast Food,100
American-Burgers-Comfort Food-Vegetarian Friendly-Fast Food,96
American-Fried Chicken-Family Meals-Southern-Sandwich-Fast Food,94
Mexican-Bowls-Salads,90
Pizza-Desserts-Salads-American-Healthy-Vegetarian Friendly-Kids Friendly,90
Breakfast &amp; Brunch-Donuts,88
American-Fast Food-wings,87
American-Breakfast and Brunch-Burgers-Chicken-Fast Food-Sandwich,86
Mediterranean-Greek-Vegetarian-Healthy,82
American-Sandwich,82
Chinese,81
Comfort Food-American-Wings,80
American-Burgers-Salads-Family Meals-Healthy-Comfort Food-Pasta-Sandwiches-Steak-Wings,79
