zip_code, num_restaurants
,287
98052,185
22314,185
22030,175
20001,172
20009,172
98105,171
20002,157
22192,156
20814,149
98004,148
22201,148
76107,146
20007,143
20147,141
23112,138
98104,138
98003,135
98103,130
98032,130
20151,129
98109,128
98122,127
98499,126
98101,125
98188,125
20109,123
53202,122
20036,118
75081,118
22150,117
23320,115
20852,115
20170,113
76092,113
84115,111
20003,111
22003,111
22031,110
23451,108
22407,106
98057,106
84070,105
78216,105
97214,104
75075,102
75074,100
98036,99
98037,98
84047,98
22401,96
98208,96
78209,96
98007,96
20850,96
20110,96
98133,96
78666,95
22102,95
84041,94
22203,93
99336,93
26505,93
97211,93
20166,92
22033,92
76262,92
84119,91
98034,90
20878,88
23233,88
76051,88
76137,87
84095,86
98201,86
22202,86
98204,85
20190,85
98409,85
23235,84
75040,84
98226,84
23220,83
76116,82
22801,82
75023,82
75013,82
84043,81
84111,81
20010,81
98012,81
22191,81
53703,80
99201,80
98125,79
20164,79
22601,79
84003,78
84107,78
20005,78
98115,78
23666,78
76132,78
98121,78
53704,77
20155,77
98683,76
97232,76
22180,76
84101,76
98107,75
22207,75
84790,74
98516,74
75070,74
22042,74
20176,74
97209,73
78258,73
99352,72
76308,72
24012,72
75080,72
75703,71
84020,71
76177,71
98030,71
98027,71
97217,71
23224,71
79424,70
75098,70
35244,70
20171,70
78218,69
97213,69
36303,68
98102,68
98166,68
98225,68
98033,68
76248,67
78205,67
24060,67
78217,66
98383,66
53005,66
76109,66
54304,66
84106,66
98002,66
23294,66
98665,66
23834,66
22041,65
23231,64
76180,64
23230,64
23602,63
76244,63
98661,63
22306,63
98118,63
22182,63
98662,62
22903,62
84770,62
23225,62
98373,61
78759,61
84660,61
98501,60
20011,60
99301,60
78207,60
84604,60
24502,60
98108,60
98270,60
22304,59
53204,59
75002,59
98271,59
23236,59
20152,59
20016,58
20006,58
22315,58
23223,58
78232,58
97030,58
20121,58
98444,58
23185,58
98021,57
53214,57
78233,57
20004,57
84015,57
53207,57
22209,56
98072,56
75063,56
23452,56
54701,56
98391,56
23510,55
84057,55
98006,55
78751,55
25701,54
60031,54
75115,54
24073,54
22204,54
23454,54
78229,53
23111,53
98503,53
76135,53
98203,53
75042,53
97220,53
23113,52
99218,52
53719,52
53220,52
25801,52
98026,52
76053,52
53142,52
23219,51
98502,51
78247,51
84404,50
22044,50
98684,50
75094,50
84405,50
23517,50
98902,50
99216,50
98272,49
53216,49
23060,49
84601,49
84084,49
22046,49
53545,49
97204,49
98275,48
75082,48
78212,48
22015,48
23831,48
26301,48
98168,47
23434,47
76039,47
35806,47
25504,47
99207,47
22193,47
98031,47
84010,46
53081,46
76104,46
77304,46
35209,46
20877,46
76114,46
26101,46
98375,45
98402,45
98116,45
20008,45
23228,45
20017,45
54302,45
78704,45
84121,45
99202,45
20037,45
84401,45
53154,44
76086,44
53221,44
78154,44
23502,44
20874,44
98042,44
20175,44
84096,43
98005,43
98056,43
78753,43
98406,43
78745,43
22312,43
78758,43
76108,43
20902,43
98144,43
22701,42
00926,42
54401,42
99205,42
78705,42
78701,42
20165,41
76102,41
98198,41
98632,41
84341,41
84120,41
75605,41
84118,41
22554,41
76021,41
84088,40
78259,40
53406,40
98682,40
23188,40
79407,40
53215,40
75701,40
84058,40
98660,39
22901,39
98371,39
98106,39
84102,39
76034,39
84074,39
98038,39
53211,39
36542,39
53217,39
75088,38
98466,38
22206,38
97227,38
98001,38
98607,38
78213,38
98087,38
23606,38
84097,38
75041,38
25428,38
75043,38
25401,38
24153,38
78240,38
53562,38
35216,37
26330,37
22101,37
20148,37
37620,37
23005,37
76131,37
76133,37
98258,37
84062,37
53511,37
53219,37
99208,37
98801,36
97203,36
25309,36
20024,36
23860,36
53222,36
78201,36
20111,36
98424,36
98059,36
36535,36
97230,36
53590,36
53045,36
54911,35
53226,35
53965,35
75154,35
82609,35
99206,35
23059,35
76148,35
54915,35
98903,35
84663,35
98011,34
75069,34
26554,34
54913,34
98155,34
98134,34
75217,34
84123,34
22079,34
22302,34
53151,34
54935,33
