name,avg_rating
Burger King (2841 South 60 East),5.0
Red Robin Gourmet Burgers (4650 Rib Mountain Dr),5.0
Open Road (ROSSLYN),5.0
Safeway Express (933 E Mission Ave),5.0
7-Eleven (401 Page St),5.0
Brooklyn Bros Pizzeria,5.0
7-Eleven (1975 Keller Pkwy),5.0
The General Public,5.0
Oshio 2 Teriyaki &amp; Burger,5.0
McDonald's® (1301 COMMERCIAL ST),5.0
Walgreens (5540 SOUTH 900 EAST),5.0
Royal Grinders,5.0
7-Eleven (9127 COURTHOUSE ROAD),5.0
Walgreens (20812 Bothell Everett Hwy),5.0
Jack in the Box (8416 Davis Blvd),5.0
Walgreens (7900 W BROAD ST),5.0
Hardee's 2825 (4201 Williamson Road),5.0
Yum Yum Kabob,5.0
Walgreens (7794 S Redwood Rd),5.0
Walgreens (101 Forbes Dr),5.0
Cafe Vida (Rogers Ranch),5.0
Safeway Express (1243 Marvin Rd Ne),5.0
Black Seed Burger Cult,5.0
Laporta's Restaurant,5.0
Madison Deli (McLean),5.0
Wendy's  (20025 Ashbrook Commons Plaza),5.0
Vego Eatz,5.0
L.A. Bar and Grill (Arlington),5.0
Walgreens (1315 N State St),5.0
MrJims.Pizza (Weatherford),5.0
Garden District (Adams Morgan),5.0
7-Eleven (43251 JOHN MOSBY HWY),5.0
Walgreens (585 Gage Blvd),5.0
Christo's On Alki,5.0
7-Eleven (4051 Cox Road),5.0
Carl's Jr. (1856 W 12600 S),5.0
Walgreens (315 W MURDOCK AVE),5.0
Sammy's Taste of Chicago,5.0
Torta Shell,5.0
Bella Vita Italian Restaurant,5.0
Haji Ali Juice,5.0
El amigo taquería,5.0
Michelangelo's Coffee House,5.0
Walgreens (1309 Richmond Rd),5.0
7-Eleven (42040 VILLAGE CTR PLAZA),5.0
Hilltop Coffee Bar &amp; Cafe,5.0
Dairy Queen (1225 Lewis River Dr),5.0
GNARLYS,5.0
McDonald's (420 Mcneil Drive),5.0
Albertsons Express (745 N Dixie Dr),5.0
Burger King (104 Zane Street),5.0
Arby's (15327 E INDIANA AVE),5.0
The Station Patio Icehouse,5.0
Jesma Fine Foods,5.0
Barcode,5.0
Walgreens (2625 W National Ave),5.0
The Social House (Fort Worth),5.0
